SERIALNO,PUMA,HINCP,WGTP,NP,state
2019GQ0108277,303,-60000,0,1,15
2019GQ0108294,306,-60000,0,1,15
2019GQ0108322,305,-60000,0,1,15
2019GQ0108333,302,-60000,0,1,15
2019GQ0108757,306,-60000,0,1,15
2019GQ0108805,305,-60000,0,1,15
2019GQ0109095,301,-60000,0,1,15
2019GQ0109250,301,-60000,0,1,15
2019GQ0109808,306,-60000,0,1,15
2019GQ0109810,301,-60000,0,1,15
2019GQ0109986,200,-60000,0,1,15
2019GQ0110123,100,-60000,0,1,15
2019GQ0110301,301,-60000,0,1,15
2019GQ0110358,304,-60000,0,1,15
2019GQ0110454,302,-60000,0,1,15
2019GQ0110555,302,-60000,0,1,15
2019GQ0110772,301,-60000,0,1,15
2019GQ0111034,304,-60000,0,1,15
2019GQ0111402,100,-60000,0,1,15
2019GQ0111611,302,-60000,0,1,15
2019GQ0111710,301,-60000,0,1,15
2019GQ0111795,304,-60000,0,1,15
2019GQ0111849,100,-60000,0,1,15
2019GQ0111974,100,-60000,0,1,15
2019GQ0112222,302,-60000,0,1,15
2019GQ0112274,301,-60000,0,1,15
2019GQ0112391,301,-60000,0,1,15
2019GQ0113241,301,-60000,0,1,15
2019GQ0113532,302,-60000,0,1,15
2019GQ0113590,308,-60000,0,1,15
2019GQ0113635,301,-60000,0,1,15
2019GQ0113684,304,-60000,0,1,15
2019GQ0114276,301,-60000,0,1,15
2019GQ0114612,301,-60000,0,1,15
2019GQ0114756,308,-60000,0,1,15
2019GQ0114849,301,-60000,0,1,15
2019GQ0114875,302,-60000,0,1,15
2019GQ0114895,303,-60000,0,1,15
2019GQ0115254,305,-60000,0,1,15
2019GQ0115347,307,-60000,0,1,15
2019GQ0115448,305,-60000,0,1,15
2019GQ0115460,302,-60000,0,1,15
2019GQ0115470,306,-60000,0,1,15
2019GQ0115691,200,-60000,0,1,15
2019GQ0116300,307,-60000,0,1,15
2019GQ0116591,304,-60000,0,1,15
2019GQ0116595,301,-60000,0,1,15
2019GQ0116618,304,-60000,0,1,15
2019GQ0116806,301,-60000,0,1,15
2019GQ0116907,306,-60000,0,1,15
2019GQ0117320,308,-60000,0,1,15
2019GQ0117500,302,-60000,0,1,15
2019GQ0117559,304,-60000,0,1,15
2019GQ0117590,303,-60000,0,1,15
2019GQ0117877,307,-60000,0,1,15
2019GQ0117934,307,-60000,0,1,15
2019GQ0118098,306,-60000,0,1,15
