occupation_code,occupation_title,years_available,year_range,avg_employment,avg_mean_wage,avg_median_wage,total_wage_growth,annual_wage_growth
51-9081,Dental Laboratory Technicians,5,2020-2024,166.0,42006.0,39584.0,0.10039564787339268,0.024205764939642327
51-9111,Packaging and Filling Machine Operators and Tenders,5,2020-2024,382.0,33674.0,30780.0,0.0716041794714198,0.017439512836827875
51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",5,2020-2024,230.0,52438.0,49948.0,0.06933385123324917,0.016900190769591594
51-9193,Cooling and Freezing Equipment Operators and Tenders,2,2023-2024,50.0,37175.0,37370.0,0.043143720802418246,0.04314372080241835
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",5,2020-2024,52.5,63098.0,54402.0,0.8591459528362014,0.16769217898661215
51-9198,Helpers--Production Workers,5,2020-2024,194.0,40250.0,38938.0,0.19776714513556617,0.04614792755764552
51-9199,"Production Workers, All Other",5,2020-2024,122.0,49030.0,46094.0,0.24478079331941544,0.056265803211744236
53-1041,Aircraft Cargo Handling Supervisors,5,2020-2024,168.0,63132.0,60126.0,0.1991936961700568,0.04645928134132271
53-1047,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",5,2020-2024,2722.0,61964.0,57068.0,0.11425732737208147,0.027416118151338154
53-2011,"Airline Pilots, Copilots, and Flight Engineers",2,2020-2021,1110.0,,,,
53-2012,Commercial Pilots,5,2020-2024,324.0,108658.0,93538.0,0.13232739904472426,0.031556462146680175
53-2021,Air Traffic Controllers,5,2020-2024,212.0,133052.0,139282.0,0.11061594779563902,0.026575691623379027
53-2022,Airfield Operations Specialists,2,2020-2023,35.0,58760.0,53040.0,-0.31946231946231946,-0.12040235312569003
53-3031,Driver/Sales Workers,5,2020-2024,1232.0,38826.0,36302.0,0.21770644576753817,0.05047483076811954
53-3032,Heavy and Tractor-Trailer Truck Drivers,5,2020-2024,3892.0,55662.0,53516.0,0.0942970073404856,0.022783711254272143
53-3033,Light Truck Drivers,5,2020-2024,3734.0,43560.0,39932.0,0.2515592515592516,0.057700850865938236
53-3051,"Bus Drivers, School",4,2021-2024,705.0,49985.0,52447.5,0.07049009384775808,0.022965257577957532
53-3052,"Bus Drivers, Transit and Intercity",5,2020-2024,1876.0,56772.0,61746.0,0.24898125509372454,0.0571557592485028
53-3053,Shuttle Drivers and Chauffeurs,4,2021-2024,1302.5,38952.5,35482.5,0.3042203985932005,0.09257266189128344
53-3099,"Motor Vehicle Operators, All Other",5,2020-2024,230.0,52778.0,51570.0,0.04901428829806475,0.012034577274769198
53-5011,Sailors and Marine Oilers,5,2020-2024,177.5,60436.0,59224.0,0.3294581689848453,0.07378830408941739
53-5021,"Captains, Mates, and Pilots of Water Vessels",5,2020-2024,502.0,73906.0,64352.0,0.541570643502925,0.11427107726403096
53-5022,Motorboat Operators,5,2020-2024,368.0,56832.0,50422.0,0.5226000860955661,0.11082709014112702
53-5031,Ship Engineers,5,2020-2024,64.0,109118.0,86856.0,0.5463146828641514,0.1151273559630781
53-6021,Parking Attendants,5,2020-2024,1566.0,30520.0,28634.0,0.2959625090122567,0.06695992956793528
53-6031,Automotive and Watercraft Service Attendants,5,2020-2024,187.5,42458.0,43906.0,0.10875670155731428,0.026145782351840285
53-6032,Aircraft Service Attendants,4,2021-2024,235.0,46772.5,46550.0,0.014658634538152611,0.004862529000915661
53-6051,Transportation Inspectors,5,2020-2024,156.0,83594.0,83294.0,0.24034950443401149,0.05532449684112728
53-6061,Passenger Attendants,5,2020-2024,750.0,39206.0,38050.0,0.2803424029348823,0.0637303050718705
53-7021,Crane and Tower Operators,5,2020-2024,178.0,105710.0,110330.0,,
53-7041,Hoist and Winch Operators,3,2022-2024,143.33333333333334,97886.66666666667,99126.66666666667,-0.0064200550290431065,-0.0032151962580102555
53-7051,Industrial Truck and Tractor Operators,4,2021-2024,680.0,64270.0,59587.5,0.07956989247311828,0.025849351120720288
53-7061,Cleaners of Vehicles and Equipment,5,2020-2024,1820.0,33896.0,31808.0,0.28325041459369815,0.06433379772364356
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",5,2020-2024,8298.0,43018.0,39256.0,0.18318540433925048,0.04294930947951969
53-7064,"Packers and Packagers, Hand",5,2020-2024,2252.0,33264.0,30074.0,0.2216039279869067,0.05131438082131856
53-7065,Stockers and Order Fillers,5,2020-2024,7892.0,37386.0,34790.0,0.24353577871316898,0.056001588040159866
53-7081,Refuse and Recyclable Material Collectors,5,2020-2024,654.0,53202.0,52232.0,0.17147602242059373,0.040359293317727696
