zip_code,actual_county,puma_county,puma_code
96776,Honolulu,Honolulu,305.0
96776,Honolulu,Honolulu,307.0
96776,Honolulu,Honolulu,303.0
96776,Honolulu,Honolulu,306.0
96776,Honolulu,Honolulu,308.0
96776,Honolulu,Honolulu,301.0
96776,Honolulu,Honolulu,302.0
96777,Honolulu,Honolulu,304.0
96777,Honolulu,Honolulu,305.0
96777,Honolulu,Honolulu,307.0
96777,Honolulu,Honolulu,303.0
96777,Honolulu,Honolulu,306.0
96777,Honolulu,Honolulu,308.0
96777,Honolulu,Honolulu,301.0
96777,Honolulu,Honolulu,302.0
96778,Honolulu,Honolulu,304.0
96778,Honolulu,Honolulu,305.0
96778,Honolulu,Honolulu,307.0
96778,Honolulu,Honolulu,303.0
96778,Honolulu,Honolulu,306.0
96778,Honolulu,Honolulu,308.0
96778,Honolulu,Honolulu,301.0
96778,Honolulu,Honolulu,302.0
96779,Honolulu,Honolulu,304.0
96779,Honolulu,Honolulu,305.0
96779,Honolulu,Honolulu,307.0
96779,Honolulu,Honolulu,303.0
96779,Honolulu,Honolulu,306.0
96779,Honolulu,Honolulu,308.0
96779,Honolulu,Honolulu,301.0
96779,Honolulu,Honolulu,302.0
96780,Honolulu,Honolulu,304.0
96780,Honolulu,Honolulu,305.0
96780,Honolulu,Honolulu,307.0
96780,Honolulu,Honolulu,303.0
96780,Honolulu,Honolulu,306.0
96780,Honolulu,Honolulu,308.0
96780,Honolulu,Honolulu,301.0
96780,Honolulu,Honolulu,302.0
96781,Honolulu,Honolulu,304.0
96781,Honolulu,Honolulu,305.0
96781,Honolulu,Honolulu,307.0
96781,Honolulu,Honolulu,303.0
96781,Honolulu,Honolulu,306.0
96781,Honolulu,Honolulu,308.0
96781,Honolulu,Honolulu,301.0
96781,Honolulu,Honolulu,302.0
96782,Honolulu,Honolulu,304.0
96782,Honolulu,Honolulu,305.0
96782,Honolulu,Honolulu,307.0
96782,Honolulu,Honolulu,303.0
96782,Honolulu,Honolulu,306.0
96782,Honolulu,Honolulu,308.0
96782,Honolulu,Honolulu,301.0
96782,Honolulu,Honolulu,302.0
96783,Honolulu,Honolulu,304.0
96783,Honolulu,Honolulu,305.0
96783,Honolulu,Honolulu,307.0
96783,Honolulu,Honolulu,303.0
96783,Honolulu,Honolulu,306.0
96783,Honolulu,Honolulu,308.0
96783,Honolulu,Honolulu,301.0
96783,Honolulu,Honolulu,302.0
96784,Honolulu,Honolulu,304.0
96784,Honolulu,Honolulu,305.0
96784,Honolulu,Honolulu,307.0
96784,Honolulu,Honolulu,303.0
96784,Honolulu,Honolulu,306.0
96784,Honolulu,Honolulu,308.0
96784,Honolulu,Honolulu,301.0
96784,Honolulu,Honolulu,302.0
96785,Honolulu,Honolulu,304.0
96785,Honolulu,Honolulu,305.0
96785,Honolulu,Honolulu,307.0
96785,Honolulu,Honolulu,303.0
96785,Honolulu,Honolulu,306.0
96785,Honolulu,Honolulu,308.0
96785,Honolulu,Honolulu,301.0
96785,Honolulu,Honolulu,302.0
96786,Honolulu,Honolulu,304.0
96786,Honolulu,Honolulu,305.0
96786,Honolulu,Honolulu,307.0
96786,Honolulu,Honolulu,303.0
96786,Honolulu,Honolulu,306.0
96786,Honolulu,Honolulu,308.0
96786,Honolulu,Honolulu,301.0
96786,Honolulu,Honolulu,302.0
96787,Honolulu,Honolulu,304.0
96787,Honolulu,Honolulu,305.0
96787,Honolulu,Honolulu,307.0
96787,Honolulu,Honolulu,303.0
96787,Honolulu,Honolulu,306.0
96787,Honolulu,Honolulu,308.0
96787,Honolulu,Honolulu,301.0
96787,Honolulu,Honolulu,302.0
96788,Honolulu,Honolulu,304.0
96788,Honolulu,Honolulu,305.0
96788,Honolulu,Honolulu,307.0
96788,Honolulu,Honolulu,303.0
96788,Honolulu,Honolulu,306.0
96788,Honolulu,Honolulu,308.0
96788,Honolulu,Honolulu,301.0
96788,Honolulu,Honolulu,302.0
96789,Honolulu,Honolulu,304.0
96789,Honolulu,Honolulu,305.0
96789,Honolulu,Honolulu,307.0
96789,Honolulu,Honolulu,303.0
96789,Honolulu,Honolulu,306.0
96789,Honolulu,Honolulu,308.0
