Year Month,Tax Type,Amount
Apr 2020,Fuel,16015901.47
Apr 2020,Individual Income,206079336.04999995
Apr 2020,All Others,5000
Apr 2020,County Surcharges,26414325.41
Apr 2020,Rental Vehicle,6515581.37
Apr 2020,Inheritance/Estate,813267.82
Apr 2020,Corporate Income,4384690.01
Apr 2020,Banks/Financial Corp,5982561.51
May 2020,County Surcharges,21504258.12
May 2020,Corporate Income,-10803372.669999998
May 2020,Individual Income,120871356.86
May 2020,Liquor,3132058.22
May 2020,Rental Vehicle,626575.95
May 2020,Public Service Co.,10902613.64
May 2020,Tobacco,9395390.81
May 2020,Transient Accommodation,4616349.54
May 2020,All Others,3010
May 2020,Inheritance/Estate,14811091.78
May 2020,General Excise & Use,190789293.21
May 2020,Banks/Financial Corp,2876895
May 2020,Fuel,10117810.32
Jun 2020,County Surcharges,27286284.37
Jun 2020,Corporate Income,261361.41000000015
Jun 2020,Individual Income,201230067.08999997
